Facility Category,Name of Building/Facility,Address of Building/Facility,建築物/設施名稱,建築物/設施名稱.1,Country Park/Special Area,郊野公園/特別地區,Telephone,聯絡電話,Website,網頁,Latitude Decimal Degree(DD.DDD),Longitude Decimal Degree(DD.DDD),Service Hours (From),Service Hours (To)
Country Park Toilet Locations,Toilet (Fei Ngo Shan Picnic Site No. 2; Halfway along Wilson Trail - Section No. 4),Fei Ngo Shan Picnic Site No. 2; Halfway along Wilson Trail - Section No. 4,廁所 (飛鵝山郊遊場地二號；衛奕信徑 - 第四段 中間位),飛鵝山郊遊場地二號；衛奕信徑 - 第四段 中間位,MA ON SHAN COUNTRY PARK,馬鞍山郊野公園,1823,1823,https://www.afcd.gov.hk/english/country/cou_vis/cou_vis_rec/cou_vis_dis.html,https://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_rec/cou_vis_dis.html,22.35302,114.22119,0:00,24:00:00
Country Park Toilet Locations,"Toilet (Pak Kung Au Picnic Site, Tung Chung Road)","Pak Kung Au Picnic Site, Tung Chung Road",廁所 (東涌道 伯公坳郊遊場地),東涌道 伯公坳郊遊場地,LANTAU SOUTH COUNTRY PARK,南大嶼郊野公園,1823,1823,https://www.afcd.gov.hk/english/country/cou_vis/cou_vis_rec/cou_vis_dis.html,https://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_rec/cou_vis_dis.html,22.24858,113.94298,0:00,24:00:00
Country Park Toilet Locations,"Toilet (Pak Kung Au Barbecue Site, Tung Chung Road)","Pak Kung Au Barbecue Site, Tung Chung Road",廁所 (東涌道 伯公坳燒烤場地),東涌道 伯公坳燒烤場地,LANTAU SOUTH COUNTRY PARK,南大嶼郊野公園,1823,1823,https://www.afcd.gov.hk/english/country/cou_vis/cou_vis_rec/cou_vis_dis.html,https://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_rec/cou_vis_dis.html,22.24812,113.94307,0:00,24:00:00
Country Park Toilet Locations,Toilet (Junction of Tai Tam Road and Tai Tam Reservoir Road),Junction of Tai Tam Road and Tai Tam Reservoir Road,廁所 (大潭道及大潭水塘道 交界),大潭道及大潭水塘道 交界,TAI TAM COUNTRY PARK,大潭郊野公園,1823,1823,https://www.afcd.gov.hk/english/country/cou_vis/cou_vis_rec/cou_vis_dis.html,https://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_rec/cou_vis_dis.html,22.24011,114.22125,0:00,24:00:00
Country Park Toilet Locations,"Toilet (Near Tai Tam Gap Correctional Institution, Hong Kong Trail - Section No. 8)","Near Tai Tam Gap Correctional Institution, Hong Kong Trail - Section No. 8",廁所 (港島徑 - 第八段 近大潭峽懲教所),港島徑 - 第八段 近大潭峽懲教所,SHEK O COUNTRY PARK,石澳郊野公園,1823,1823,https://www.afcd.gov.hk/english/country/cou_vis/cou_vis_rec/cou_vis_dis.html,https://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_rec/cou_vis_dis.html,22.25512,114.23181,0:00,24:00:00
Country Park Toilet Locations,Toilet (To Tei Wan Tsuen; Junction of Shek O Road and Hong Kong Trail - Section No. 8),To Tei Wan Tsuen; Junction of Shek O Road and Hong Kong Trail - Section No. 8,廁所 (土地灣村；石澳道及港島徑 - 第八段 交界),土地灣村；石澳道及港島徑 - 第八段 交界,SHEK O COUNTRY PARK,石澳郊野公園,1823,1823,https://www.afcd.gov.hk/english/country/cou_vis/cou_vis_rec/cou_vis_dis.html,https://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_rec/cou_vis_dis.html,22.22702,114.23982,0:00,24:00:00
Country Park Toilet Locations,"Toilet (Picnic Site No. 5, Golden Hill Road)","Picnic Site No. 5, Golden Hill Road",廁所 (金山路 郊遊場地5號),金山路 郊遊場地5號,KAM SHAN COUNTRY PARK,金山郊野公園,1823,1823,https://www.afcd.gov.hk/english/country/cou_vis/cou_vis_rec/cou_vis_dis.html,https://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_rec/cou_vis_dis.html,22.35455,114.15203,0:00,24:00:00
Country Park Toilet Locations,"Toilet (Wan Tsai West Campsite, Sai Kung)","Wan Tsai West Campsite, Sai Kung",廁所 (西貢 灣仔西營地),西貢 灣仔西營地,SAI KUNG WEST (WAN TSAI EXT.) COUNTRY PARK,西貢西 (灣仔擴建部分)郊野公園,1823,1823,https://www.afcd.gov.hk/english/country/cou_vis/cou_vis_rec/cou_vis_dis.html,https://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_rec/cou_vis_dis.html,22.46553,114.3394,0:00,24:00:00
Country Park Toilet Locations,"Toilet (Near Morning Walker Garden, Pok Fu Lam Country Park)","Near Morning Walker Garden, Pok Fu Lam Country Park",廁所 (近薄扶林郊野公園 晨運園地),近薄扶林郊野公園 晨運園地,LUNG FU SHAN COUNTRY PARK,龍虎山郊野公園,1823,1823,https://www.afcd.gov.hk/english/country/cou_vis/cou_vis_rec/cou_vis_dis.html,https://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_rec/cou_vis_dis.html,22.27654,114.13274,0:00,24:00:00
Country Park Toilet Locations,Toilet (Tsin Yue Wan Campsite),Tsin Yue Wan Campsite,廁所 (煎魚灣營地),煎魚灣營地,LANTAU SOUTH COUNTRY PARK,南大嶼郊野公園,1823,1823,https://www.afcd.gov.hk/english/country/cou_vis/cou_vis_rec/cou_vis_dis.html,https://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_rec/cou_vis_dis.html,22.20872,113.84457,0:00,24:00:00
