Name of Building/Facility,Address of Building/Facility - Street,Address of Building/Facility - District,Address of Building/Facility - Region,Location of Water Dispenser,Latitude,Longitude,Type of Water Dispenser,Numbers,Service Hours (From),Service Hours (To),Service Hours (Exception),Remarks,Type of Venue,Water Temperature
Eagle's Nest Nature Trail Entrance Water Filling Station,LION ROCK COUNTRY PARK,Sha Tin District,New Territories,Eagle's Nest Nature Trail Entrance,22.34797993,114.1536821,Non-Fountain type,1,0:00,24:00:00,,,Outdoor,Ambient temperature
Tai Tam BBQ Site Water Filling Station,TAI TAM COUNTRY PARK,Eastern District,Hong Kong,Tai Tam BBQ Site,22.25925536,114.2028931,Non-Fountain type,2,0:00,24:00:00,,,Outdoor,Ambient temperature
Nai Chung BBQ Site Water Filling Station,MA ON SHAN COUNTRY PARK,Tai Po District,New Territories,Nai Chung BBQ Site,22.4297833,114.2585062,Non-Fountain type,1,0:00,24:00:00,,,Outdoor,Ambient temperature
Tai Mei Tuk Country Park Management Centre (Pat Sin Leng Nature Trail) Water Filling Station,PAT SIN LENG COUNTRY PARK,Tai Po District,New Territories,Tai Mei Tuk Country Park Management Centre (Pat Sin Leng Nature Trail),22.47621273,114.2360209,Non-Fountain type,1,0:00,24:00:00,,,Outdoor,Ambient temperature
Tai Mei Tuk BBQ Site Water Filling Station,PLOVER COVE COUNTRY PARK,Tai Po District,New Territories,Tai Mei Tuk BBQ Site,22.46846571,114.2329959,Non-Fountain type,1,0:00,24:00:00,,,Outdoor,Ambient temperature
Pak Tam Chung Family Walk Water Filling Station,SAI KUNG WEST COUNTRY PARK,Sai Kung District,New Territories,Pak Tam Chung Family Walk,22.39924878,114.318837,Non-Fountain type,1,0:00,24:00:00,,,Outdoor,Ambient temperature
Pak Tam Chung P.H.A.B. Site (Pak Tam Chung Family Walk and MacLehose Trail Section 1) Water Filling Station,SAI KUNG WEST COUNTRY PARK,Sai Kung District,New Territories,Pak Tam Chung P.H.A.B. Site,22.39728768,114.3205248,Non-Fountain type,1,0:00,24:00:00,,,Outdoor,Ambient temperature
Pak Tam Chung Kiosk (Pak Tam Chung Family Walk and MacLehose Trail Section 1) Water Filling Station,SAI KUNG WEST COUNTRY PARK,Sai Kung District,New Territories,Pak Tam Chung Kiosk (Pak Tam Chung Family Walk and MacLehose Trail Section 1),22.39761393,114.3192238,Non-Fountain type,1,0:00,24:00:00,,,Outdoor,Ambient temperature
Lions Nature Education Centre Water Filling Station,TSIU HANG SPECIAL AREA,Sai Kung District,New Territories,Lions Nature Education Centre,22.37394801,114.264029,Non-Fountain type,1,0:00,24:00:00,,,Outdoor,Ambient temperature
Tai Hang Tun BBQ Site (Clear Water Bay Tree Walk) Water Filling Station,CLEAR WATER BAY COUNTRY PARK,Sai Kung District,New Territories,Tai Hang Tun BBQ Site (Clear Water Bay Tree Walk),22.29040999,114.2999691,Non-Fountain type,1,0:00,24:00:00,,,Outdoor,Ambient temperature
